C0445117;Neoplasm present
C0072061;Epicatechin
C0026455;Glioblastoma
C0543488;radiologist
C1412616;mRNA Expression
C1158535;translesion synthesis
C1412617;Cefaclor
C0002460;American Indians
C1183517;Rectum
C0014479;geriatric patients
C0060095;Metabolism
C0014442;sialyl Lewis x
C0040732;Cholangiocarcinoma
C0014441;Epidermal Growth Factor
C0015772;Calcium Channel Blockers
C0014440;Antioxidants
C1159892;epidermal cell differentiation
C1184808;Bone structure of sacrum
C0040739;Evaluation
C0040736;Spleen Tissue
C0026428;Monitoring Immunologic
C0581714;Buccal smear procedure
C0027752;Schwann Cells
C0072097;Colorectal Carcinoma
C0543478;Cohort
C0001168;tomography
C1412628;Biological Processes
C1412626;Intraductal papillary mucinous neoplasm
C0567400;Malignant Neoplasms
C0531492;Intestinal Cancer
C4255212;Pain Postoperative
C1424600;SART3 gene
C0734011;mass lesion
C0807679;Radiology studies
C0750979;Adult
C0038402;Bacteria
C1424616;NR1H4 gene
C0554101;Villous atrophy
C0399839;Stomach Carcinoma
C1413963;ANOPHTHALMIA AND PULMONARY HYPOPLASIA
C1413961;MCM5 gene
C1413962;Catenins
C1157223;ATP biosynthesis
C1413960;DDX20 gene
C0567416;Inflammation
C0026432;Patients
C0543467;ovarian neoplasm
C0291573;irinotecan liposomal
C0027765;Depressive disorder
C0001157;Neoplasms
C0567415;Persons
C0544794;Perforated diverticulitis
C1413966;ANOPHTHALMIA AND PULMONARY HYPOPLASIA
C0002482;Acids
C0796494;Ground Glass Opacity
C0039738;Metals
C0039736;associated conditions
C0085390;Woman
C0108555;Multiple tumors
C0085393;Emergency operation
C0278544;Total mesorectal excision
C0026408;Reverse Transcriptase Polymerase Chain Reaction
C0002438;Colon structure (body structure)
C0459914;Antidiarrheals
C0242594;Patients
C0003765;Attention
C0242596;Locally Advanced Malignant Neoplasm
C0027732;Carcinoma Transitional Cell
C0003762;Autophagy
C0040709;Pharmaceutical Preparations
C0254579;5-(6)-carboxyfluorescein diacetate succinimidyl ester
C0278553;Patients
C0014432;Pharmaceutical Preparations
C0013103;wound complication
C0278554;Patients
C0750952;Digestive System Neoplasms
C0040706;Transillumination
C1998103;Complication
C0027746;Nerve Degeneration
C0002423;Psoriasis
C0002424;Cancer Research
C0027741;opioid use
C1413906;DAPK1 gene
C0734004;anatomical layer
C0027740;Adrenergic Fibers
C0734007;Thickened
C0459920;Community
C0014436;Enzyme Precursors
C0734001;Thickened
C0278556;Persons
C0734000;Edema
C0015732;Chemotherapy Regimen
C3894443;reactive oxygen species biosynthetic process
C0278561;Patients
C0241238;Abdomen
C0001128;Gallic acid
C1328887;human study
C0001122;Gastrointestinal perforation
C0003781;Gases
C0039704;Tetrazolium Salts
C0014406;Hepatocyte
C4231241;Anal abnormalities
C0015734;Fecal Impaction
C0409679;Woman
C0015733;TNFSF13B gene
C0278575;Squamous Epithelial Cells
C0014412;Primary sclerosing cholangitis
C0965644;AQP4 gene
C0337514;Sister
C1327543;Immune Cell
C0001117;Acid-Base Equilibrium
C0002445;Cecum
C0027726;Phytotherapy
C1413927;Cell Count
C0241240;Male population group
C1413923;Epithelioma
C0278579;Re-Irradiation
C2930789;mutant
C0193176;complete Blepharoptosis
C1304890;Neuroglia
C0578122;Embolization of portal vein
C0963057;Toll-like receptor 9
C1326205;Persons
C1326207;gemcitabine
C0278506;Patients
C1654934;Chronic Obstructive Airway Disease
C0193171;Left colectomy
C3157065;dendritic cell differentiation
C1708130;advanced cancer
C0027708;Kidney
C1328856;Immunoprecipitation
C0181186;Cicatrix
C1256770;Ketogenic Diet
C0193158;Screening procedure
C3895731;monounsaturated fatty acid biosynthetic process
C1328840;Persons
C0241279;Structure of left axillary region
C4545429;Surgery Image-Guided
C0181173;Massive hemorrhage
C3714800;CLDN1 gene
C0193144;Rectal irrigation
C1708154;Neoplasms
C0292818;EPHB2 protein human
C0349539;Middle Aged
C0003738;Materials
C1328839;autoimmune inflammatory bowel disease
C3844190;Patients
C0349534;general population
C0324255;Landrace pig
C0349536;Autofluorescence Imaging
C1721101;Genes
C0278535;Persons
C0349530;Stomach Neoplasms
C1721104;DNA Breaks
C0229779;Dissecting hemorrhage
C0914005;Malignant Neoplasms
C1327616;Epithelial Cells
C3280504;Crypt hyperplasia
C0278704;Survivors
C1818645;ribonucleoprotein complex biogenesis
C1254144;Human Microbiome
C0278701;general population
C0227121;Redness
C0229783;Structure of pancreatic lymph node
C2353542;Infiltration
C0229789;Edema
C1266129;Omentum
C1519427;Malignant Neoplasms
C0677984;African race
C1266119;Patients
C0242732;Organ
C4521453;Pyotraumatic dermatitis
C0242735;Biological Processes
C1521743;Cardiovascular Diseases
C1484476;Microorganism
C0242738;mRNA Expression
C1135809;Weight decreased
C2340229;Macrophage Activation Syndrome
C1521745;Abdomen incision
C0242739;Secondary Neoplasm
C2613138;Gene Expression
C1521747;leptin receptor
C1521751;Neoplasms
C1533734;Administration procedure
C1328910;Neoplasms
C0242724;DNA Sequence
C0242726;Neoplasms
C0215136;Pharmacotherapy
C0496867;Benign neoplasm of rectum
C1280474;Transfer factor - respiratory measure
C0242792;Progression-Free Survival
C0228487;Inulin
C1377916;Benign Vascular Neoplasm
C0156263;Ureteric fistula
C0132298;neurotrophic factor
C1377919;Stage IV Nasopharyngeal Carcinoma
C4510788;Operative Surgical Procedures
C1519477;House mice
C1519474;Mouse Spleen
C1377913;Pleural Mesothelioma
C4076626;Early gastric cancer
C1506158;Vesicle SNARE Proteins
C3640144;Lymphocytes Tumor-Infiltrating
C3242274;Therapeutic radiology procedure
C0229793;Secondary Neoplasm
C0229792;Jejunum
C0229791;Neoplasm Metastasis
C4050026;Peste-des-petits-ruminants virus
C3653446;Today
C1266156;Multicystic mesothelioma benign
C3811902;methylate
C3242284;Patients
C1819995;Proteins
C4305789;Magnetic Resonance Imaging
C1458155;tipifarnib
C1266144;Malignant Neoplasms
C3485619;Angiogenesis Inhibitors
C0156272;Diverticulosis
C1266147;Neuroendocrine carcinoma grade 1
C0181209;Hook
C0170531;Caco-2 Cells
C0399644;Benign condition
C1135868;Primary malignant neoplasm of lung
C0399642;Reconstructive Surgical Procedures
C0399643;Proximal subtotal gastrectomy
C3918715;Oar
C1830377;cancer recurrence
C0349380;Potato chips
C1423498;Relative (related person)
C0205725;DNA
C1422163;CTCF gene
C1879646;Affected Area
C1422165;Purines
C1423497;Growth
C0146894;Peripheral blood mononuclear cell (cell)
C0037098;tailor
C4053960;Neoplasms
C1135873;Choriocarcinoma
C0086707;Alkaloids
C3665429;Recurrent hemorrhage
C1159825;polyphenols
C0074725;Tissue Donors
C0074727;sodium borate
C3266262;Male population group
C0144237;Silvan
C0037088;Acute Chest Syndrome
C0686055;Neoplasms
C0085405;recurrent prostate cancer
C0399626;Rigid sigmoidoscopy
C2243080;Intestinal necrosis
C0037080;HCT116 Cells
C0085407;Malignant tumor of colon
C1880658;Feline urological syndrome
C0037083;Embryonic Development
C1880656;Patients
C0399622;Screening procedure
C0399623;Evaluation procedure
C1134558;martynoside
C0399620;Macrophage Activation Syndrome
C0457276;Patients
C4303178;Cohort
C0049065;Histone Deacetylase
C0061444;Glucuronic Acid
C0062773;Colorectal Carcinoma
C1817393;Mus
C1134564;irinotecan liposomal
C0037075;Patients
C0037073;Obstruction of colon
C0107264;Cessation of life
C1158512;Tumor Burden
C1422195;MIR455 gene
C0348083;Patients
C1879655;Closure by staple
C0772313;Tumor cells uncertain whether benign or malignant
C0445275;Anesthetics
C0205766;Myxofibroma
C0085423;Isolate - microorganism
C1422129;Enzyme-Linked Immunosorbent Assay
C0398359;Woman
C1842325;Adenocarcinoma
C0038394;Bacteria
C0013090;skin toxicity
C0229730;Hypertrophy
C1521726;Magnetic Resonance Imaging (MRI) of Liver
C3808302;Watery diarrhea chronic
C0472888;Incisional hernia
C0085413;Intraductal papillary mucinous neoplasm
C0061465;colon growth
C0229747;Secondary Neoplasm
C0398368;Jejunum
C1424790;Genes
C0025086;Colorectal Carcinoma
C0073432;Transformation function
C0073434;Neoplastic Cell Transformation
C1520401;Dynamics
C0025080;Colonic lesion
C0242706;Disease
C0072108;Transcription Genetic
C0242708;Antirheumatic Drugs Disease-Modifying
C1424792;Chronic Obstructive Airway Disease
C0061472;Mental disorders
C0203126;Operative Surgical Procedures
C0013075;Nodule
C0037047;Sibling
C0230704;Protoplasm
C3665472;Secondary malignant neoplasm of liver
C3665478;oxaliplatin
C1519414;Solitary Nodule
C4039634;Male population group
C0026381;Molecular Probes
C0040691;Missense Mutation
C0040690;Adenocarcinoma
C0013089;Birth
C0387696;Standardization
C0039694;disease stage
C0040682;ras Proteins
C0037039;Immune Cell
C1842350;Patients
C4255186;Autophagy
C0086767;Elements
C0013081;Chronic Obstructive Airway Disease
C1881930;Tretinoin
C1508753;Reconstructive Surgical Procedures
C0038362;Tumor marker measurement
C0025066;Electrocardiography
C2746052;Dermatitis
C0074785;Plasma membrane
C1855663;Kaufman oculocerebrofacial syndrome
C1521713;Serotonin
C0025063;Mediastinal Neoplasms
C0025062;Mediastinal Emphysema
C0038354;Outpatients
C0040674;removal technique
C1424749;Infiltration
C0039685;Patients
C3821327;cell-cell adhesion
C0038353;Gastric Dilatation
C0038352;Gastric Content
C0038358;Subtotal gastrectomy
C0037025;receptor
C0038356;Gastrointestinal Diseases
C1412762;Open Reading Frames
C0038351;Multiple lesions
C0040679;ferroptosis
C0027697;Patients
C0026367;Hemorrhage
C0002395;Cohort
C0025037;Congenital Abnormality
C1183428;Solocyte
C0027695;Analgesia Epidural
C3160718;Malignant Neoplasms
C0084133;Polyubiquitin
C0037017;Shrimp
C0554244;Capsule Endoscopy
C0039677;Congenital dyserythropoietic anemia
C0040661;STAT1 gene
C0040669;Real-Time Polymerase Chain Reaction
C1337091;CCL4 gene
C0001056;Inflammatory Bowel Diseases
C0001057;Malignant Neoplasms
C1412777;Finding of body mass index
C0026376;Molecular Biology
C0072149;Biological Factors
C0580545;Blood glucose normal
C0085484;Enterobacter cloacae
C0038333;Stilbenes
C0015696;Intestinal dysbiosis
C0041984;Toxic effect
C0040654;Patients
C0013030;Dopamine
C0015695;Cancer Cell Growth
C0581870;Male population group
C0041980;Triglycerides
C0037004;Sebaceous Adenocarcinoma
C0015691;multiple pathologies
C0025018;Carcinogenesis
C1158483;DNA Alkylation
C1412785;Microtubule-Associated Proteins 1A/1B Light Chain 3-II
C0025017;Food
C0027679;Patients
C0747497;Cicatrix
C0544886;Patients
C0027672;Persons
C1184738;Metastatic Lesion
C3146409;Chromatin
C0120341;growth factor-activatable Na-H exchanger NHE-1
C0085478;Porphyromonas gingivalis
C0014372;SLC9A3 gene
C0085479;Bacteria
C0118022;Homeostasis
C0039654;Intercellular adhesion molecule 1
C0040649;Biologic Development
C0014370;Patients
C0040648;liver development
C1158475;Cohort
C0027686;Milk spots of pericardium
C0025023;Transcription Genetic
C0301470;Stool Softener
C0300140;EEF1A1 protein human
C1184743;IL27 gene
C1424706;HCT116 Cells
C0041963;Ureterostomy procedure
C1567160;Intestines
C0015674;BCL2 gene
C0041964;Malignant neoplasm of lung
C1256801;FPR1 protein human
C0314761;Oral cavity
C0014346;Pulmonary Fibrosis
C0039644;HT29 Cells
C0015672;Hypoglycemia
C0041967;Necrotic debris
C0001028;Acetate-CoA Ligase
C0027653;Structure of sphincter ani muscle
C0003682;Accumulation
C0027651;Tissue Donors
C0027652;Neoplasms by Histologic Type
C2964281;perfluorooctanoate
C0038317;Spontaneous hemorrhage
C0593802;Retinoid X Receptors
C0013018;Tissue Dissection
C0014355;FATE1 gene
C0015686;Iodides
C0015688;Nonesterified Fatty Acids
C0014356;Intestinal Microbiome
C0041951;iatrogenic injury
C0015687;Fatty Acids
C0085498;Infantile Neuroaxonal Dystrophy
C1424712;Malignant tumor of colon
C0015684;Colonic Neoplasms
C0015683;Ligase
C1412731;MCL1 gene
C0746131;lung lesion cavitary
C0747460;capsanthin-capsorubin synthase
C0040624;SNAI1 gene
C0747465;Patients
C3147783;Immunity
C3147785;Body tissue
C0072186;Propionic acid
C0002345;Phenotype
C0027667;Neoplasms Unknown Primary
C0027662;Patients
C0027663;Right colon
C0015689;CD69 protein human
C0796357;Premenstrual syndrome
C0581833;En Bloc Resection
C0041942;Blood
C0014323;Entamoeba histolytica
C1159772;Immunohistochemistry
C0040616;Buspirone
C0040613;Malignant neoplasm of splenic flexure of colon
C0041945;Ligands
C0040615;Clozapine
C0001047;JNK Pathway
C0001040;Body tissue
C0457193;Soft tissue mass
C1424721;Body tissue
C0014327;Enteral Nutrition
C0015663;TNFSF14 gene
C0041931;Hypersensitivity
C0014335;Perforation of small intestine
C0084183;Vitamin D3 24-Hydroxylase
C1337027;Transcription Genetic
C3160734;phagocytic cup
C1424734;Tumor Progression
C1424736;Mutation
C1412751;BCAT1 gene
C0027646;Cohort
C0028978;Proton Pump Inhibitors
C0028977;Primary Liposarcoma
C0399713;Jejunal interposition
C0027642;MicroRNAs
C1158438;sphingolipid metabolic process
C0027643;Neoplasm Recurrence Local
C0003695;polarization
C0027645;Neoplasm Seeding
C2364172;Cancer Patient
C1424731;Malignant Neoplasms
C1337019;Well Differentiated Malignant Neoplasm
C2711421;Carcinoma of ampulla of Vater
C0016964;B4GALT1 gene
C3858690;Pharmacotherapy
C0016960;Cytosine deaminase
C0039601;Carcinogenesis
C1302392;Adenomatous Polyposis Coli
C1337013;Teleradiotherapy with iodine-125
C1337011;Von Hippel-Lindau Syndrome
C2330838;Dissecting hemorrhage
C0264010;Hepatic osteodystrophy
C0735446;Present
C0241374;Woman
C0240043;Hematoma Subdural
C0735449;Secondary Neoplasm
C0239059;Obesity
C0015641;NT5C2 gene
C0664613;Apoptosis
C1337005;Epithelial Cells
C1567130;Ovarian Carcinoma
C0265338;South East Asian
C0028959;Mus
C1710596;Adenocarcinoma of ampulla of Vater
C3896974;Monoclonal Antibodies
C0041917;Tegafur
C0041912;Patients
C0027625;Genes Regulator
C0027626;Perineural spread
C0027627;Mice Nude
C0028953;Oligonucleotides
C0041909;Metastatic Renal Cell Cancer
C0796392;Community
C1708287;Anus
C0796396;Iodine-125
C0278678;Vascular Endothelial Growth Factor Receptor
C0016978;gallbladder neoplasm
C0016979;Cell Surface Proteins
C1518174;Rat Colon
C0016976;Large Mass
C0016977;Adult
C0278687;work up
C1326341;Aspartate
C0041904;Vitamin D3 24-Hydroxylase
C0028928;Patients
C0242692;Secondary malignant neoplasm of soft tissues
C1629836;Tumor Immunity
C0028925;Plants Medicinal
C0265325;Endometrioid carcinoma ovary
C1293808;Peritoneum reconstruction
C0242696;Neoplasms
C0242697;Surface
C0001002;Growth
C0004991;Patients
C0292991;stage colon cancer
C0677908;durvalumab
C0228390;AIF1 gene
C0278689;removal technique
C0278688;Appendicitis
C0423866;Lanugo
C0723457;Stop brand of fluoride
C0338724;Woman
C0028938;Meningioma
C3653518;Apoptosis Regulatory Proteins
C0266642;Laparoscopic Colectomy
C0242687;Compliance
C1293821;Perineum reconstruction
C0016956;Galectin 4
C1412719;UBE2Q1 gene
C0016955;Alkaloids
C0028908;Flavonoids
C3653501;Adult Liver Carcinoma
C1280511;Radical hysterectomy
C0004936;SPINK5 gene
C0004933;Scientific Study
C0265385;Peutz-Jeghers Syndrome
C4521398;United States Military enlisted E4
C3472375;Vagina
C0265384;Hereditary Nonpolyposis Colorectal Cancer
C0494164;Lung
C0494165;Plant seeds
C1709582;Evaluation
C0004927;Healthy Lifestyle
C1301034;Persons
C0677950;Biological Markers
C1569757;STAT3 gene
C0280953;Neoplasms
C0028910;Negative Regulation of S Phase
C1268865;Gastroparesis
C1157190;polysaccharide biosynthetic process
C3896943;Phosphorylation
C0879179;Ileus
C0003625;polyphenols
C0280962;Patients
C0240066;Adult
C0677946;Magnetic Resonance Imaging (MRI) of Liver
C0324145;Oils
C0677948;geriatric patients
C0677949;Persons
C0016904;gamma-Aminobutyric Acid
C2711413;Hospitals
C0337438;SMALL BOWEL BACTERIAL OVERGROWTH
C0279980;Esophagus
C2712743;Carcinoma Small Cell
C0003617;Cystadenocarcinoma Mucinous
C0003618;Patients
C0003615;Virulence Factors
C0677930;Endometrial Endometrioid Adenocarcinoma
C0003614;Colorectal Neoplasms
C1327622;Practitioner
C0004943;Behcet Syndrome
C0003611;Appendicitis
C0677932;Level of the first lumbar vertebra
C4521361;MYBPC3 wt Allele
C0349410;Coherent
C0677936;Lung
C0966897;MRC1 gene
C1709599;Surveillance Epidemiology and End Results (SEER) Program
C1556474;Patients
C0016911;Mus
C4517098;Cohort
C0376495;Acupuncture procedure
C0025831;Gene Silencing
C0677646;Adenocarcinoma
C0677647;Neoplastic Cell Transformation
C1566558;Asians
C0410000;Patients
C0013856;Electrophoresis Agar Gel
C4327687;macrophage migration
C0013862;SDS-PAGE
C4543399;Somatostatin analog
C0024518;CD8A wt Allele
C1528289;B-Lymphocytes
C4050171;Patients
C0855052;Anal part of perineum
C0221941;Dehiscence
C0410013;Soft tissue lesion
C0855060;Omentum
C0037812;Scientific Study
C0037813;Spectrum Analysis
C0037816;Speculum
C0843083;Anorectal fistula
C0011206;Patients
C0664336;SPHK2 gene
C0037815;Diagnosis
C3714605;Pain Perception
C0424670;Weight for height
C0678951;immunologist
C0678953;hereditary factors
C0677626;SP1 gene
C0001883;Process
C0013839;Electromyography
C0221910;stage I cervical cancer
C1290386;Patients
C0037805;melanoma
C1098658;HIPK2 gene
C0678941;FAT1 gene
C0855073;Patients
C0000545;American College of Cardiology/American Heart Association Lesion Complexity Score A
C0678945;Colorectal Carcinoma
C0677616;Abdominoperineal resection
C0412694;Stable Disease
C0221921;Assay
C1964029;Screening procedure
C0221925;Rattus norvegicus
C1097317;Malignant Neoplasms
C3896766;CD69 protein human
C0221971;Lymphoid hyperplasia
C0412624;Computed Tomography (CT) of Pancreas
C0207661;Chronic ulcerative colitis
C0870668;hospitalized patients
C0412620;Varicosity
C0870666;Patients
C1567848;Cells
C2698204;Colon structure (body structure)
C0425946;Consolidation Chemotherapy
C0939239;Inflammatory Bowel Diseases
C0231303;Disease
C0879005;Catheter drainage
C0001815;Primary Myelofibrosis
C4505065;Alcohol consumption
C0001811;Persons
C0220650;Therapeutic procedure
C0220655;Malignant pericardial effusion
C0220654;Cytological Techniques
C0160420;Injury of kidney
C2064225;Patients
C2064226;Italians
C0927222;Neoplasms
C3535907;Colorectal Carcinoma
C0401998;Clinic nurse
C4505053;research
C0677667;Intraperitoneal chemotherapy
C0000511;Squamous cell carcinoma of esophagus
C0207683;Cytopathic effect
C0870646;High Risk Populations
C0220620;Breast
C2316467;Reactive Oxygen Species
C2699517;Therapeutic procedure
C1373218;Malignant neoplasm of colon stage IV
C0449900;Malignant tumor of colon
C0424621;Patients
C1036338;Aphrocallistes vastus
C4505047;Nitrosative Stress
C1300201;Pale red color
C1541263;Patients
C1300200;Microcirculation
C0220633;Eye
C0220630;Patients
C0013806;Liver neoplasms
C1096021;Patients
C1822803;Carcinogenesis
C1822802;SNHG7 gene
C0013801;Malignant neoplasm of sigmoid colon
C0013804;Endoscopic dilatation
C3714634;Cohort
C0858970;Taurine
C4505038;Local excision
C1156201;Histone Deacetylation
C1518869;Hantavirus Infections
C1156205;Body tissue
C0053917;Severe (severity modifier)
C3271738;Antibodies Bispecific
